Index,test_case,FDA,ChatGPT,match_chatgpt,Claude,match_claude
10,Baby colic,"['activated', 'citrullus', 'natrum', 'chamomilla', 'matricaria', 'fruit', 'colocynthis', 'charcoal', 'copper', 'pulp', 'phosphoricum']",simethicone,No,simethicone,No
11,Backache,"['polycephalum', 'jasmine', 'bryonia', 'sus', 'actaea', 'formicum', 'asafoetida', 'gnaphalium', 'mimulus', 'arthritis', 'estrone', 'capsacin', 'caninum', 'pineal', 'pubescens', 'sarsaparilla', 'aromatica', 'autumnale', 'scrofa', 'chamomile', 'muta', 'taurus', 'prom', 'atropinum', 'ledum', 'washoensis', 'saw', 'sulphuris', 'berberis', 'arbutus', 'as', 'pulsatilla', 'zinc', 'cimicifuga', 'arsenic', 'bellis', 'pepo', 'testosterone', 'canadensis', 'n', 'hekla', 'guttatus', 'llc', 'veratrumalbum', 'citrus', 'fagus', 'hypericum', 'album', 'arnica', 'calcareum', 'trolamine', 'currant', 'potassium', 'natrum', 'radicans', 'doicia', 'top', 'bark', 'chrysanthum', 'uterus', 'giganteum', 'cerasifera', 'kalmia', 'muriaticum', 'progesterone', 'go', 'bud', 'napellus', 'aconitum', 'viola', 'badiaga', 'cocculus', 'salicylic', 'palustre', 'tigrinum', 'mehtyl', 'prunus', 'santali', 'root', 'berry', 'andrachne', 'davidsonii', 'viburnum', 'odorata', 'benzoicum', 'cool', 'angustifolia', 'bladder', 'magnesium', 'aspen', 'verrucosa', 'ursinus', 'equisetum', 'bartonella', 'perennis', 'sulfur', 'toxicodendron', 'kidney', 'glabra', 'capsicum', 'juniper', 'gunpowder', 'kali', 'vulgaris', 'symphytum', 'silicea', 'ferrum', 'virgaurea', 'nitricum', 'ursi', 'repens', 'urtica', 'balm', 'mentha', 'robur', 'clarridgeiae', 'quintana', 'latifolia', 'cantharis', 'lilium', 'methyl', 'aurantiacus', 'montana', 'arctostaphylos', 'lac', 'aquaticum', 'dioica', 'populus', 'silver', 'ignatia', 'vom', 'lachesis', 'oil', 'sativum', 'lytta', 'thiosinaminum', 'loquat', 'trioxide', 'taraxacum', 'officinalis', 'salicylicum', 'strychnos', 'spleen', 'sabina', 'carbonicum', 'sulphuricum', 'solidago', 'tox', 'vinsonii', 'sodium', 'twig', 'carb', 'thymol', 'uva', 'gland', 'cobaltum', 'ovary', 'stramonium', 'citricum', 'venture', 'bacilliformis', 'matricaria', 'calcarea', 'seed', 'phosphorus', 'tellurium', 'aurum', 'glycyrrhiza', 'oleum', 'sylvestris', 'aesculus', 'mellifera', 'pain', 'camphor', 'echinacea', 'rockrose', 'elizabethae', 'urinary', 'diversilobum', 'colocynthis', 'trihydrate', 'clavatum', 'pituitary', 'ulmaria', 'rhododendron', 'bos', 'tremuloides', 'betula', 'alba', 'chestnut', 'flowering', 'piper', 'rubia', 'salicylate', 'pancreas', 'solanum', 'relief', 'vanillyl', 'phytolacca', 'phosphoricum', 'henselae', 'rhus', 'vesicatoria', 'mellifica', 'dibasic', 'chimaphila', 'adenosine', 'goldenseal', 'venom', 'chelidonium', 'lactic', 'hippocastanum', 'ruber', 'by', 'watermelon', 'praecipitatus', 'levothyroxine', 'mercurius', 'majus', 'leaf', 'ibuprofen', 'menthol', 'lithium', 'capsaicin', 'belladonna', 'phosphate', 'natronatum', 'lycopodium', 'wang', 'spiraea', 'tinctorum', 'petroselinum', 'heat', 'luffa', 'limonum', 'lidocaine', 'diplacus', 'nux', 'indicus', 'black', 'sequoiadendron', 'flower', 'sepia', 'umbellata', 'officinale', 'zincum', 'palmetto', 'pituitarum', 'lava', 'causticum', 'operculata', 'acidum', 'argentum', 'and', 'carbonica', 'hyemale', 'rutagraveolens', 'fluorica', 'yellow', 'estradiol', 'hydrofluoricum', 'acid', 'garlic', 'chloride', 'triphosphate', 'colchicum', 'recutita', 'copper', 'thyroidinum', 'green', 'phosphorica', 'quercus', 'red', 'horse', 'hydrastis', 'decandra', 'nonylamide', 'posterium', 'perforatum', 'eryngium', 'cucurbita', 'oxalicum', 'spicata', 'whole', 'terebinthina', 'penstemon', 'magnesia', 'asparagus', 'extract', 'mitchella', 'arsenicum', 'citrullus', 'veratrum', 'ruta', 'cubeba', 'racemosa', 'apis', 'hepar', 'opulus', 'methysticum', 'sinusitisinum', 'helonias', 'lycopersicum', 'metallicum', 'rubus', 'graveolens', 'melatonin']",ibuprofen,Yes,ibuprofen,Yes
12,Bleeding,"['major', 'hip', 'angustifolia', 'sepia', 'carduus', 'bryonia', 'borax', 'virginiana', 'vipera', 'calendula', 'calcarea', 'ac', 'seed', 'bismuthum', 'subnitricum', 'phosphorus', 'aloe', 'cinnamomum', 'ratanhia', 'plantago', 'tripudians', 'calc', 'virgiana', 'americanus', 'causticum', 'aesculus', 'phos', 'vaginal', 'vomica', 'echinacea', 'corrosivus', 'acidum', 'capsicum', 'suppository', 'and', 'solubilis', 'aluminum', 'iodine', 'collinsonia', 'veins', 'andrographis', 'glandium', 'kali', 'varicose', 'crotalus', 'fluorica', 'marianus', 'trisulfide', 'wart', 'vegetabilis', 'cenchris', 'silicea', 'ledum', 'ferrum', 'carbonate', 'eugenia', 'hydrofluoricum', 'acid', 'aculeatus', 'nitricum', 'flowering', 'sulphuris', 'sulphur', 'podophyllum', 'sulfuric', 'urtica', 'ruscus', 'cistus', 'myrrha', 'mutus', 'sulfide', 'achillea', 'peptostreptococcus', 'hamamelis', 'an', 'pulsatilla', 'horridus', 'elaps', 'officinallis', 'anaerobius', 'arsenic', 'phytolacca', 'barium', 'phosphoricum', 'montana', 'canadensis', 'vivus', 'quercus', 'agave', 'renewal', 'veg', 'decandra', 'chionanthus', 'album', 'policresulen', 'arnica', 'hypericum', 'calcareum', 'corallinus', 'silver', 'ignatia', 'silicata', 'cream', 'nail', 'kreosotum', 'natrum', 'berus', 'vom', 'lachesis', 'top', 'pugnax', 'chelidonium', 'bark', 'verum', 'whole', 'hipp', 'carbo', 'hippocastanum', 'muriaticum', 'paeonia', 'naja', 'mercurius', 'staphisagria', 'armoracia', 'trioxide', 'majus', 'spiritus', 'creosote', 'millefolium', 'amara', 'officinalis', 'strychnos', 'delphinium', 'ibuprofen', 'arsenicum', 'capsella', 'antimony', 'peitatum', 'ceanothus', 'napellus', 'aconitum', 'toxicophis', 'hepar', 'caryophyllata', 'palustre', 'lycopodium', 'solidago', 'salvia', 'americana', 'contortrix', 'rusticana', 'wood', 'root', 'nitrate', 'calcium', 'remover', 'paniculata', 'socotrina', 'nux', 'silicatum', 'cascavella']",tylenol,No,tranexamic,No
13,Blisters,"['major', 'angustifolia', 'sepia', 'borax', 'dolichos', 'calendula', 'ac', 'seed', 'leafy', 'thuja', 'plantago', 'docosanol', 'causticum', 'gelsemium', 'toxicodendron', 'croton', 'echinacea', 'pubescens', 'sarsaparilla', 'and', 'nat', 'clematis', 'kali', 'pruriens', 'silicea', 'ledum', 'anatherum', 'nitricum', 'flowering', 'chloride', 'urtica', 'i', 'ranunc', 'dulcamara', 'sarracenia', 'dna', 'phytolacca', 'phosphoricum', 'rhus', 'vesicatoria', 'mezereum', 'dioica', 'benzocaine', 'sore', 'purpurea', 'hydrastis', 'simplex', 'decandra', 'album', 'hypericum', 'muricatum', 'perforatum', 'natrum', 'graphites', 'top', 'muriaticum', 'occ', 'lytta', 'ranunculus', 'curoxen', 'occidentalis', 'leaf', 'officinalis', 'arsenicum', 'ibuprofen', 'mur', 'bulb', 'nosode', 'xerophyllum', 'erecta', 'benzethonium', 'palustre', 'lycopodium', 'herpes', 'tox', 'ii', 'bulbosus', 'sodium', 'twig', 'day', 'tiglium', 'asphodeloides', 'cold']",antiseptic,No,hydrocortisone,No
14,Bloating,"['major', 'bryonia', 'carduus', 'sus', 'formicum', 'asafoetida', 'ac', 'tyramine', 'estrone', 'gentiana', 'campylobacter', 'thuja', 'saffron', 'antimonium', 'quercetin', 'sanicula', 'rutin', 'phosphoric', 'histamine', 'enterococcus', 'bilberry', 'pepsinum', 'malus', 'triticum', 'gluconate', 'maculatum', 'crassipes', 'vomica', 'gelsemium', 'vaccinum', 'aethusa', 'bromium', 'artemisia', 'pubescens', 'sarsaparilla', 'autumnale', 'spinosa', 'strawberry', 'solubilis', 'aluminum', 'scrofa', 'chamomile', 'activated', 'dihydrate', 'muta', 'bodyanew', 'gluten', 'succirubra', 'trichinella', 'mas', 'milk', 'marianum', 'egg', 'streptococcus', 'illicium', 'lymph', 'sulphuris', 'cina', 'indolum', 'berberis', 'digestive', 'glyphosate', 'cynapium', 'hamamelis', 'robinia', 'hypothalamus', 'pulsatilla', 'apiolum', 'lamb', 'lycoctonum', 'adenoviren', 'cimicifuga', 'arsenic', 'lactis', 'nitric', 'bellis', 'muriatica', 'pepo', 'cod', 'liver', 'canadensis', 'vivus', 'communis', 'stannum', 'chicken', 'europaea', 'phenacetinum', 'betulus', 'alnus', 'iberis', 'album', 'hypericum', 'arnica', 'annuum', 'calcareum', 'pepper', 'rectum', 'juniperus', 'brugia', 'cashew', 'antimon', 'potassium', 'natrum', 'kreosotum', 'trimer', 'top', 'coumarinum', 'rhamnus', 'bark', 'hedera', 'caulophyllum', 'villosa', 'tribasic', 'sarcolacticum', 'muriaticum', 'progesterone', 'juglans', 'cinnamic', 'tanacetum', 'burgdorferi', 'condurango', 'millefolium', 'plumbum', 'spore', 'nutmeg', 'gall', 'acetaldehyde', 'juice', 'sativa', 'pseudoacacia', 'sorbate', 'resin', 'beta', 'cyanatus', 'napellus', 'moschata', 'viola', 'arvensis', 'aconitum', 'oxalaceticum', 'cocculus', 'enterobius', 'cuprum', 'virginicum', 'body', 'bovine', 'oyster', 'cepa', 'pyruvate', 'vermicularis', 'daikon', 'indole', 'nigricans', 'parathyroid', 'virguarea', 'aureus', 'virginicus', 'prunus', 'with', 'thlaspi', 'scrophularia', 'iris', 'atropine', 'root', 'berry', 'agaricus', 'ipecac', 'spigelia', 'alb', 'calcium', 'thistle', 'viburnum', 'pratense', 'borrelia', 'banana', 'carvi', 'benzoicum', 'oophorinum', 'angustifolia', 'borax', 'viride', 'bladder', 'nut', 'magnesium', 'ascaris', 'aubrevillei', 'oxy', 'animalis', 'incarnata', 'ratanhia', 'mosch', 'pancreatinum', 'dihydrochloride', 'equisetum', 'entamoeba', 'alcohol', 'perennis', 'bacillus', 'phos', 'sulfur', 'toxicodendron', 'histaminum', 'scolymus', 'kidney', 'corrosivus', 'crude', 'avena', 'ptelea', 'capsicum', 'juniper', 'glabra', 'dissectum', 'borago', 'musc', 'nat', 'stearyl', 'phenyl', 'enterocolitica', 'damiana', 'hispana', 'fumaricum', 'radix', 'collinsonia', 'cleanse', 'subnitrate', 'kali', 'alfalfa', 'radish', 'thymolum', 'vulgaris', 'shell', 'fruit', 'uncaria', 'charcoal', 'histolytica', 'alum', 'silicea', 'ferrum', 'potato', 'virgaurea', 'taenia', 'nitricum', 'abrotanum', 'sulphur', 'foeniculum', 'podophyllum', 'urtica', 'orange', 'mutus', 'cistus', 'mentha', 'botulinum', 'brazil', 'dna', 'regia', 'cantharis', 'lilium', 'cortisone', 'iodium', 'montana', 'aquaticum', 'lac', 'iodatum', 'viv', 'tartaric', 'mezereum', 'dioica', 'purshiana', 'saginatta', 'absinthium', 'hydrogen', 'vesiculosus', 'gambogia', 'procumbens', 'purpurea', 'ossis', 'nasturtium', 'yersinia', 'rye', 'cynara', 'veg', 'oat', 'barley', 'tryptophan', 'piperita', 'silver', 'ignatia', 'pulmonaria', 'culver', 'graphites', 'vom', 'lachesis', 'oil', 'inositol', 'sativum', 'fragaria', 'lytta', 'jejunum', 'skim', 'riboflavin', 'tomentosa', 'aluminium', 'trioxide', 'taraxacum', 'saccharum', 'raphanus', 'silybum', 'occidentalis', 'suprarenalis', 'officinalis', 'pyrrole', 'salicylicum', 'strychnos', 'caffeine', 'melissa', 'spleen', 'anthelmia', 'medulla', 'zingiber', 'okoubaka', 'carbonicum', 'oxide', 'sabina', 'impatiens', 'petroleum', 'centella', 'pulp', 'pecan', 'formalinum', 'sulphuricum', 'pullularia', 'jejuni', 'digitalis', 'tenuis', 'fruiting', 'morgan', 'tauri', 'perfringens', 'solidago', 'virosa', 'asiatica', 'albicans', 'bulbosus', 'sodium', 'tuber', 'platinum', 'twig', 'wood', 'cadmium', 'arvense', 'faecalis', 'nigrum', 'stolonifer', 'lomatium', 'gland', 'lecithinum', 'teucrium', 'difficile', 'helix', 'aparine', 'lutea', 'sativus', 'matricaria', 'crudum', 'calcarea', 'calendula', 'asafetida', 'amanita', 'seed', 'bismuthum', 'phosphorus', 'subnitricum', 'aloe', 'tellurium', 'eugenol', 'almond', 'ustilago', 'cholesterol', 'urens', 'glycyrrhiza', 'oleum', 'biloba', 'senna', 'folic', 'tabebuia', 'sylvestris', 'atropa', 'americanus', 'aesculus', 'coli', 'mellifera', 'cholera', 'tabacum', 'gaultheria', 'croton', 'echinacea', 'valeriana', 'niger', 'althaea', 'fel', 'cheese', 'abies', 'typhi', 'pork', 'colocynthis', 'veronicastrum', 'hydrochloricum', 'var', 'trihydrate', 'clematis', 'gaertner', 'clavatum', 'viridans', 'morrhuae', 'powder', 'sumbul', 'vegetabilis', 'xanthine', 'duodenum', 'nig', 'ribes', 'verbascum', 'alba', 'pinus', 'mercuric', 'baryta', 'flowering', 'anisatum', 'lavandula', 'solium', 'rhubarb', 'pullulans', 'baptisia', 'arg', 'achillea', 'pancreas', 'met', 'small', 'maj', 'iod', 'monocytogenes', 'pyrogenium', 'fumaric', 'leptandra', 'ginkgo', 'ricinus', 'phytolacca', 'frangula', 'niacin', 'staphylococcus', 'phosphoricum', 'propolis', 'ammonium', 'salmonella', 'aestivum', 'vesicatoria', 'rhus', 'aspergillus', 'mellifica', 'pylori', 'walnut', 'impetiginosa', 'ligusticum', 'angelica', 'isothiocyanate', 'aranea', 'chionanthus', 'menadione', 'dibasic', 'santoninum', 'filix', 'mariana', 'ononis', 'glechoma', 'chamomilla', 'podoph', 'tarentula', 'adenosine', 'piperine', 'venom', 'chelidonium', 'galium', 'hippocastanum', 'simethicone', 'mag', 'versicolor', 'crud', 'trifolium', 'methylcobalamin', 'sylvatica', 'sulfate', 'mercurius', 'ranunculus', 'diadema', 'majus', 'olea', 'virginica', 'solub', 'adrenalinum', 'leaf', 'stillingia', 'bismuth', 'cupric', 'bichromicum', 'dryopteris', 'pumila', 'escherichia', 'geranium', 'nosode', 'carum', 'lithium', 'spiralis', 'suis', 'proteus', 'skatole', 'glutathione', 'erecta', 'belladonna', 'english', 'tricolor', 'scorodonia', 'phosphate', 'ext', 'merc', 'pelt', 'wheat', 'lycopodium', 'tinctoria', 'peltatum', 'selenium', 'petroselinum', 'cobalamin', 'granatum', 'cholesterinum', 'tuna', 'oxalacetate', 'shoot', 'clostridium', 'secale', 'myosotis', 'chlorpromazinum', 'colon', 'crocus', 'peanut', 'lamblia', 'nux', 'fraxineum', 'malic', 'tiglium', 'indicus', 'eichhornia', 'black', 'naphthalinum', 'membranaceus', 'flower', 'ignatii', 'ferula', 'sepia', 'mucor', 'fumaria', 'officinale', 'viscum', 'parapsilosis', 'virginiana', 'astragalus', 'nees', 'sabadilla', 'quassia', 'choline', 'zincum', 'robertianum', 'eggplant', 'alumina', 'carpinus', 'rhizopus', 'recta', 'heptahydrate', 'racemosus', 'causticum', 'acetylsal', 'cerevisiae', 'phaseolus', 'coffea', 'lappa', 'muscaria', 'malicum', 'acidum', 'argentum', 'and', 'carbonica', 'cum', 'hyemale', 'chininum', 'maidis', 'glandulifera', 'cinchona', 'intestine', 'licorice', 'aceticum', 'trifoliata', 'kerosene', 'marianus', 'fluorica', 'allium', 'flos', 'pantothenic', 'gallbladder', 'glandula', 'carbonate', 'hydrofluoricum', 'acid', 'listeria', 'chloride', 'defloratum', 'colibacillinum', 'bromide', 'rape', 'hypophysis', 'nodosa', 'vulgare', 'triphosphate', 'boldo', 'fucus', 'pentahydrate', 'colchicum', 'chloramphenicolum', 'recutita', 'sinensis', 'marum', 'copper', 'folliculinum', 'iodide', 'thyroidinum', 'glyoxal', 'diethyl', 'usitatissimum', 'phosphorica', 'porteri', 'tomato', 'cajuputum', 'cholecalciferol', 'linum', 'giardia', 'thymus', 'adrenocorticotrophin', 'malayi', 'beef', 'hydrastis', 'conium', 'decandra', 'xylitol', 'vanillylamine', 'perforatum', 'hydrochloride', 'veronica', 'cucurbita', 'gaba', 'dioscorea', 'pyridoxine', 'thiamine', 'chelone', 'whole', 'nit', 'xanthoxylum', 'terebinthina', 'carbo', 'tosta', 'magnesia', 'nigra', 'off', 'amara', 'cicuta', 'stem', 'chlorinum', 'picea', 'carbolicum', 'hydrocotyle', 'arsenicum', 'citrullus', 'veratrum', 'helicobacter', 'ruta', 'skatolum', 'bulb', 'ceanothus', 'passiflora', 'apis', 'hydroxide', 'hepar', 'hederacea', 'gripe', 'vesca', 'candida', 'cholinum', 'helonias', 'americana', 'sticta', 'water', 'metallicum', 'torula', 'apple', 'dysentery', 'plumb', 'nitrate', 'exposed', 'lumbricoides', 'node', 'cassia', 'alternaria']",simethicone,Yes,simethicone,Yes
15,Blood Circulation,"['menthol', 'ginger', 'ginseng', 'cannabis', 'red', 'tongmai', 'renewal', 'arnica', 'ignatia', 'cream', 'nail', 'musk', 'pain', 'camphor', 'per', 'oil', 'glycerin', 'gelsimium', 'relief', 'kang', 'terebinthina', 'shuqi', 'strength', 'bellis', 'staphysagria', 'bone', 'xinxueqing', 'cinchona']",aspirin,No,aspirin,No
16,Bone pain,"['sepia', 'officinale', 'sus', 'castus', 'calcarea', 'serrulata', 'aurum', 'lysine', 'orchitinum', 'equisetum', 'dioxide', 'caninum', 'avena', 'acidum', 'sarsaparilla', 'carbonica', 'concha', 'hyemale', 'scrofa', 'threonine', 'silicon', 'clavatum', 'kali', 'ulmaria', 'fluorica', 'glandula', 'carbonate', 'acid', 'baryta', 'umbilical', 'hypophysis', 'calcitonin', 'pancreas', 'hypothalamus', 'thyroidinum', 'fumaric', 'fluoride', 'phosphorica', 'human', 'phosphoricum', 'manganum', 'seguinum', 'isoleucine', 'iodium', 'montana', 'sabal', 'phenylalanine', 'lac', 'comfrey', 'stannum', 'luteum', 'adrenocorticotrophin', 'cord', 'tryptophan', 'album', 'arnica', 'placenta', 'natrum', 'agnus', 'muriaticum', 'valine', 'magnesia', 'aluminium', 'condurango', 'taraxacum', 'suprarenalis', 'arsenicum', 'succinic', 'sativa', 'ruta', 'lactuca', 'suis', 'cuprum', 'sulphuricum', 'nuphar', 'phosphate', 'natronatum', 'lycopodium', 'virosa', 'spiraea', 'parathyroid', 'methionine', 'caladium', 'leucine', 'root', 'metallicum', 'gland', 'ovary', 'calcium', 'ostreae', 'sulphurica', 'graveolens', 'bone']",ibuprofen,No,ibuprofen,No
17,Bronchial Irritation,"['membranaceus', 'eucalyptus', 'powdered', 'succinate', 'bryonia', 'officinale', 'ipecacuanha', 'astragalus', 'calcarea', 'sabadilla', 'phosphorus', 'zincum', 'sanguinaria', 'antimonium', 'hcl', 'glycyrrhiza', 'cation', 'tin', 'medicago', 'arundo', 'chondrus', 'tabebuia', 'sylvestris', 'inflata', 'triphyllum', 'perfoliatum', 'camphor', 'dioxide', 'maleate', 'gelsemium', 'night', 'histaminum', 'ambrosia', 'echinacea', 'vaporizing', 'bromium', 'acidum', 'glabra', 'codeine', 'sarsaparilla', 'galphimia', 'and', 'carbonica', 'solubilis', 'silicon', 'platycodon', 'phenylephrine', 'kali', 'umcka', 'guiafenesin', 'pseudoephedrine', 'vulgaris', 'aralia', 'allium', 'vegetabilis', 'arabica', 'silicea', 'flu', 'pinus', 'chlorpheniramine', 'alba', 'virgaurea', 'lymph', 'arum', 'acid', 'sempervirens', 'baryta', 'sulphuris', 'sulphur', 'chloride', 'crispus', 'doxylamine', 'nodosa', 'ascorbic', 'artemisiaefolia', 'myrrha', 'mutus', 'baptisia', 'apricot', 'mauritanica', 'relief', 'gluconicum', 'dextromethorphan', 'pulsatilla', 'pyrogenium', 'cough', 'skeleton', 'bean', 'cantharis', 'phytolacca', 'tartaricum', 'phosphoricum', 'ammonium', 'kernel', 'porteri', 'senega', 'iodium', 'montana', 'aquaticum', 'iodatum', 'canadensis', 'rhus', 'trigonella', 'stannum', 'hydrobromide', 'impetiginosa', 'thymus', 'elderberry', 'ossis', 'nasturtium', 'sidoides', 'hydrastis', 'ligusticum', 'plus', 'decandra', 'oat', 'album', 'arnica', 'calcareum', 'hydrochloride', 'pulmonaria', 'potassium', 'natrum', 'lachesis', 'roasted', 'coffee', 'whole', 'carbo', 'muriaticum', 'sambucus', 'acetaminofen', 'trifolium', 'mercurius', 'brompheniramine', 'nigra', 'steam', 'daytime', 'chlorinum', 'adrenalinum', 'leaf', 'officinalis', 'glauca', 'hydrocholoricum', 'arsenicum', 'menthol', 'nighttime', 'bichromicum', 'spleen', 'medulla', 'sativa', 'dextrometrorphan', 'zingiber', 'carbonicum', 'racemosa', 'napellus', 'aconitum', 'arsenicicum', 'suis', 'hepar', 'acetaminophen', 'pelargonium', 'lobelia', 'sulphuricum', 'coldcare', 'kit', 'phosphate', 'cepa', 'spongia', 'solidago', 'tinctoria', 'tox', 'euphrasia', 'hbr', 'sticta', 'guaifenesin', 'scrophularia', 'starter', 'root', 'berry', 'metallicum', 'eupatorium', 'day', 'calcium', 'pratense', 'wyethia', 'globulus', 'cold', 'naphthalinum']",mucinex,No,guaifenesin,Yes
18,Bronchitis,"['aquaticum', 'agrimonia', 'githago', 'rhus', 'carduus', 'kali', 'ginger', 'pruriens', 'sassafras', 'aceticum', 'dolichos', 'hydrobromide', 'allium', 'agrostemma', 'cyclophosphoricum', 'sabadilla', 'adrenocorticotrophin', 'serrulata', 'nasturtium', 'acetaminophen', 'ailanthus', 'alnus', 'populus', 'intybus', 'arum', 'candicans', 'arundo', 'cepa', 'rna', 'cynodon', 'platanus', 'solidago', 'triphyllum', 'natrum', 'tox', 'officinalis', 'eupatoria', 'equisetum', 'euphrasia', 'maleate', 'hydrochloricum', 'cichorium', 'mauritanica', 'histaminum', 'cinerea', 'dextromethorphan', 'muriaticum', 'glandulosus', 'adenosinum', 'galphimia', 'juglans', 'chlorheniramine', 'dactylon', 'jujube', 'benedictus', 'hyemale', 'adrenalinum', 'cortisone', 'glauca']",mucinex,No,guaifenesin,No
19,Bruise,"['major', 'flower', 'angustifolia', 'phasphorica', 'bryonia', 'venture', 'cool', 'matricaria', 'nap', 'officinale', 'sus', 'viscum', 'virginiana', 'formicum', 'gravedens', 'magnesium', 'calendula', 'calcarea', 'cactus', 'ac', 'arthritis', 'seed', 'toxicdendron', 'leafy', 'phosphorus', 'aloe', 'bromelain', 'wounds', 'incarnata', 'cartilago', 'plantago', 'quercetin', 'calc', 'rutin', 'capsacin', 'histamine', 'atropa', 'vessel', 'guaiacum', 'alcohol', 'perfoliatum', 'cornutum', 'perennis', 'pain', 'camphor', 'mellifera', 'phos', 'maculatum', 'coffea', 'grape', 'toxicodendron', 'of', 'sulfur', 'histaminum', 'ornithogalum', 'echinacea', 'valeriana', 'rockrose', 'acidum', 'pubescens', 'capsicum', 'umbellatum', 'fibrocartilage', 'and', 'carbonica', 'nat', 'pork', 'solubilis', 'scrofa', 'colocynthis', 'radix', 'hydrochloricum', 'glandulifera', 'trihydrate', 'grav', 'clematis', 'pyrenees', 'taurus', 'rock', 'ascorbicum', 'californica', 'kali', 'vitalba', 'bos', 'aceticum', 'prom', 'fluorica', 'vegetabilis', 'symphytum', 'perf', 'silicea', 'flos', 'plum', 'ledum', 'ferrum', 'verbascum', 'alba', 'mesenchyme', 'pinus', 'lymph', 'acid', 'hpus', 'flowering', 'sulphur', 'nartex', 'sulphuris', 'chloride', 'baryta', 'aristolochia', 'purp', 'balm', 'remedy', 'colchicum', 'plant', 'cistus', 'anhydrous', 'mutus', 'lignosa', 'mentha', 'dulcamara', 'sulfide', 'baptisia', 'achillea', 'salicylate', 'hamamelis', 'grandiflorus', 'relief', 'copper', 'as', 'vanillyl', 'vitamin', 'pulsatilla', 'zinc', 'green', 'cuts', 'latifolia', 'fluoride', 'phosphorica', 'phytolacca', 'bellis', 'fluor', 'lapis', 'phosphoricum', 'vein', 'propolis', 'methyl', 'cortisone', 'liver', 'intervertebral', 'montana', 'aquaticum', 'iodatum', 'canadensis', 'rhus', 'comfrey', 'n', 'albus', 'dioica', 'trigonella', 'mellifica', 'llc', 'procumbens', 'purpurea', 'nasturtium', 'star', 'hydrastis', 'conium', 'decandra', 'nonylamide', 'album', 'hypericum', 'arnica', 'dibasic', 'piperita', 'trolamine', 'calcareum', 'perforatum', 'ignatia', 'cream', 'hydrochloride', 'potassium', 'natrum', 'rose', 'essence', 'chamomilla', 'homeopathic', 'lachesis', 'top', 'per', 'oil', 'pal', 'order', 'cordifolia', 'rhamnus', 'lactic', 'whole', 'tribasic', 'sarcolacticum', 'cerasifera', 'carbo', 'kalmia', 'cherry', 'by', 'go', 'magnesia', 'muriaticum', 'trifolium', 'thapsus', 'joint', 'mag', 'isopropyl', 'tablet', 'mercurius', 'forte', 'taraxacum', 'off', 'amara', 'millefolium', 'extract', 'leaf', 'officinalis', 'cellulose', 'arsenicum', 'envelope', 'menthol', 'veratrum', 'vir', 'impatiens', 'oxide', 'cruda', 'ruta', 'carbonicum', 'zeyheri', 'mur', 'special', 'resin', 'napellus', 'aconitum', 'passiflora', 'lithium', 'suis', 'apis', 'brazmedics', 'myrrha', 'c', 'sulphuricum', 'hepar', 'salicylic', 'kit', 'unspecified', 'capsaicin', 'erecta', 'belladonna', 'vera', 'harpagophytum', 'phosphate', 'fruiting', 'bethlehem', 'lubracane', 'palustre', 'tinctoria', 'tox', 'wang', 'parathyroid', 'mehtyl', 'heat', 'cohosh', 'sticta', 'prunus', 'sodium', 'twig', 'shoot', 'thymol', 'root', 'hoitzia', 'milhomens', 'secale', 'eupatorium', 'meniscus', 'e', 'ligament', 'gland', 'lidocaine', 'calcium', 'pratense', 'folia', 'graveolens', 'stramonium', 'bruises', 'black']",ibuprofen,No,arnica,Yes
